"","x","val","variable"
"1",0,0.081,"0.5 s"
"2",0.015,0.089,"0.5 s"
"3",0.03,0.083,"0.5 s"
"4",0.045,0.09,"0.5 s"
"5",0.06,0.082,"0.5 s"
"6",0.075,0.062,"0.5 s"
"7",0.09,0.066,"0.5 s"
"8",0.105,0.08,"0.5 s"
"9",0.12,0.069,"0.5 s"
"10",0.135,0.07,"0.5 s"
"11",0.15,0.064,"0.5 s"
"12",0.165,0.069,"0.5 s"
"13",0.18,0.072,"0.5 s"
"14",0.195,0.066,"0.5 s"
"15",0.21,0.056,"0.5 s"
"16",0.225,0.061,"0.5 s"
"17",0.24,0.067,"0.5 s"
"18",0.255,0.066,"0.5 s"
"19",0.27,0.059,"0.5 s"
"20",0.285,0.06,"0.5 s"
"21",0.3,0.066,"0.5 s"
"22",0,0.09,"1 s"
"23",0.015,0.085,"1 s"
"24",0.03,0.088,"1 s"
"25",0.045,0.078,"1 s"
"26",0.06,0.075,"1 s"
"27",0.075,0.083,"1 s"
"28",0.09,0.068,"1 s"
"29",0.105,0.084,"1 s"
"30",0.12,0.082,"1 s"
"31",0.135,0.075,"1 s"
"32",0.15,0.062,"1 s"
"33",0.165,0.067,"1 s"
"34",0.18,0.058,"1 s"
"35",0.195,0.061,"1 s"
"36",0.21,0.06,"1 s"
"37",0.225,0.066,"1 s"
"38",0.24,0.07,"1 s"
"39",0.255,0.051,"1 s"
"40",0.27,0.047,"1 s"
"41",0.285,0.055,"1 s"
"42",0.3,0.063,"1 s"
"43",0,0.073,"1.5 s"
"44",0.015,0.059,"1.5 s"
"45",0.03,0.1,"1.5 s"
"46",0.045,0.084,"1.5 s"
"47",0.06,0.077,"1.5 s"
"48",0.075,0.073,"1.5 s"
"49",0.09,0.081,"1.5 s"
"50",0.105,0.076,"1.5 s"
"51",0.12,0.074,"1.5 s"
"52",0.135,0.067,"1.5 s"
"53",0.15,0.056,"1.5 s"
"54",0.165,0.074,"1.5 s"
"55",0.18,0.064,"1.5 s"
"56",0.195,0.069,"1.5 s"
"57",0.21,0.062,"1.5 s"
"58",0.225,0.081,"1.5 s"
"59",0.24,0.051,"1.5 s"
"60",0.255,0.071,"1.5 s"
"61",0.27,0.071,"1.5 s"
"62",0.285,0.065,"1.5 s"
"63",0.3,0.067,"1.5 s"
