"","x","val","variable"
"1",0,0.195,"0.5 s"
"2",0.015,0.161,"0.5 s"
"3",0.03,0.173,"0.5 s"
"4",0.045,0.143,"0.5 s"
"5",0.06,0.162,"0.5 s"
"6",0.075,0.175,"0.5 s"
"7",0.09,0.177,"0.5 s"
"8",0.105,0.166,"0.5 s"
"9",0.12,0.174,"0.5 s"
"10",0.135,0.142,"0.5 s"
"11",0.15,0.179,"0.5 s"
"12",0.165,0.162,"0.5 s"
"13",0.18,0.157,"0.5 s"
"14",0.195,0.163,"0.5 s"
"15",0.21,0.156,"0.5 s"
"16",0.225,0.152,"0.5 s"
"17",0.24,0.159,"0.5 s"
"18",0.255,0.156,"0.5 s"
"19",0.27,0.141,"0.5 s"
"20",0.285,0.132,"0.5 s"
"21",0.3,0.143,"0.5 s"
"22",0,0.159,"1 s"
"23",0.015,0.174,"1 s"
"24",0.03,0.178,"1 s"
"25",0.045,0.16,"1 s"
"26",0.06,0.163,"1 s"
"27",0.075,0.173,"1 s"
"28",0.09,0.183,"1 s"
"29",0.105,0.166,"1 s"
"30",0.12,0.165,"1 s"
"31",0.135,0.161,"1 s"
"32",0.15,0.159,"1 s"
"33",0.165,0.162,"1 s"
"34",0.18,0.154,"1 s"
"35",0.195,0.147,"1 s"
"36",0.21,0.153,"1 s"
"37",0.225,0.151,"1 s"
"38",0.24,0.151,"1 s"
"39",0.255,0.139,"1 s"
"40",0.27,0.127,"1 s"
"41",0.285,0.154,"1 s"
"42",0.3,0.17,"1 s"
"43",0,0.176,"1.5 s"
"44",0.015,0.218,"1.5 s"
"45",0.03,0.17,"1.5 s"
"46",0.045,0.191,"1.5 s"
"47",0.06,0.171,"1.5 s"
"48",0.075,0.151,"1.5 s"
"49",0.09,0.17,"1.5 s"
"50",0.105,0.187,"1.5 s"
"51",0.12,0.156,"1.5 s"
"52",0.135,0.165,"1.5 s"
"53",0.15,0.161,"1.5 s"
"54",0.165,0.161,"1.5 s"
"55",0.18,0.169,"1.5 s"
"56",0.195,0.14,"1.5 s"
"57",0.21,0.157,"1.5 s"
"58",0.225,0.145,"1.5 s"
"59",0.24,0.145,"1.5 s"
"60",0.255,0.166,"1.5 s"
"61",0.27,0.132,"1.5 s"
"62",0.285,0.144,"1.5 s"
"63",0.3,0.138,"1.5 s"
